razao,endereco,bairro,cidade,endereço,longitude,latitude
POSTO ATLANTICO LTDA,"AVENIDA PORTUGAL, 150",Jardim Atlantico,Belo Horizonte,"Av. Portugal, 150 - Santa Amelia, Belo Horizonte - MG, 31550-000, Brazil",-43.9913128,-19.8388349
POSTO VANORTE LTDA,"RUA DOUTOR ALVARO CAMARGOS, 1795",Santa Branca,Belo Horizonte,"Rua Dr. Álvaro Camargos, 1795 - Santa Branca, Belo Horizonte - MG, 31515-252, Brazil",-43.9635332,-19.8288041
A CARABETTI & CIA LTDA,"AVENIDA CRISTIANO MACHADO, 2000",Cidade Nova,Belo Horizonte,"Av. Cristiano Machado, 2000 - Cidade Nova, Belo Horizonte - MG, 31170-800, Brazil",-43.9286631,-19.8900208
POSTO BOM BOM LTDA,"AVENIDA CONTORNO, 2694",Santa Efigenia,Belo Horizonte,"Av. do Contorno, 2694 - Santa Efigênia, Belo Horizonte - MG, 30110-014, Brazil",-43.92267220000001,-19.9219985
POSTO BEAGAS GNV LTDA.,"AVENIDA DOM PEDRO II, 4685",Jardim Montanhes,Belo Horizonte,"Av. Dom Pedro II, 4685 - Jardim Montanhês, Belo Horizonte - MG, 30750-000, Brazil",-43.9836581,-19.9083732
POSTO BH LTDA - ME,"AVENIDA DOS ANDRADAS, 1350",Centro,Belo Horizonte,"Av. dos Andradas, 1350 - Centro, Belo Horizonte - MG, 30120-010, Brazil",-43.92783,-19.92155
ROL COMERCIO DE DERIVADOS DE PETROLEO LTDA,"AVENIDA ANDRADAS, 3520",Pompeia,Belo Horizonte,"Av. dos Andradas, 3520 - Santa Efigênia, Belo Horizonte - MG, 30260-070, Brazil",-43.9091934,-19.9163639
POSTO WAP LTDA,"AVENIDA PEDRO II, 4091",Vila Futuro,Belo Horizonte,"Av. Dom Pedro II, 4091 - Jardim Montanhês, Belo Horizonte - MG, 30810-190, Brazil",-43.9794854,-19.9127309
POSTO LESTE LTDA,"AVENIDA DOS ANDRADAS, 3300",Santa Efigenia,Belo Horizonte,"Av. dos Andradas, 3300 - Centro, Belo Horizonte - MG, 30120-010, Brazil",-43.91409700000001,-19.9198817
POSTO PRISMA LTDA,"AVENIDA VER. CICERO ILDEFONSO, 684",Joao Pinheiro,Belo Horizonte,"Av. Vereador Cicero Idelfonso, 684 - João Pinheiro, Belo Horizonte - MG, 30530-000, Brazil",-43.998888,-19.925342
KING EMPREENDIMENTOS COMERCIAIS LTDA,"AVENIDA VEREADOR CÍCERO ILDEFONSO, 1065",Coração Eucarístico,Belo Horizonte,"Av. Vereador Cicero Idelfonso, 1065 - Califórnia, Belo Horizonte - MG, 30530-000, Brazil",-44.0013756,-19.9257017
POSTO DE COMBUSTÍVEIS SANTO AGOSTINHO LTDA.,"AVENIDA AMAZONAS, 2381",Santo Agostinho,Belo Horizonte,"Av. Amazonas, 2381 - Santo Agostinho, Belo Horizonte - MG, 30180-121, Brazil",-43.9547234,-19.9283869
POSTO QUICK LTDA,"AVENIDA CORONEL JOSE BENJAMIM, 17",Padre Eustaquio,Belo Horizonte,"Rua Coronel José Benjamim, 17 - Padre Eustáquio, Belo Horizonte - MG, 30720-430, Brazil",-43.969415,-19.9195664
POSTO OCEANO LTDA,"AVENIDA DO CONTORNO, 10325",Barro Preto,Belo Horizonte,"Av. do Contorno, 10325 - Santa Efigênia, Belo Horizonte - MG, 30110-071, Brazil",-43.9553752,-19.9176637
POSTO OLIMAR COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA TEREZA CRISTINA, 2350",Padre Eustaquio,Belo Horizonte,"Av. Tereza Cristina, 2350 - Padre Eustáquio, Belo Horizonte - MG, 30720-030, Brazil",-43.974395,-19.922624
POSTO DE COMBUSTIVEL TEREZA CRISTINA LTDA,"AVENIDA TEREZA CRISTINA, 820",Carlos Prates,Belo Horizonte,"Av. Tereza Cristina, 820 - Carlos Prates, Belo Horizonte - MG, 30411-640, Brazil",-43.9650952,-19.9168282
POSTO LESTE OESTE LTDA,"AVENIDA TEREZA CRISTINA, 1795",Calafate,Belo Horizonte,"Av. Tereza Cristina, 1795 - Prado, Belo Horizonte - MG, 30410-600, Brazil",-43.969948,-19.92155
POSTO VILA NOSSA SENHORA DE FATIMA LTDA,"AVENIDA NOSSA SENHORA DE FATIMA, 2.401",Carlos Prates,Belo Horizonte,"Av. Nossa Sra. de Fátima, 2401 - Carlos Prates, Belo Horizonte - MG, 30710-020, Brazil",-43.9533802,-19.9149748
POSTO DAMASCO LTDA - ME,"AVENIDA PEDRO II, 1125",Carlos Prates,Belo Horizonte,"Av. Dom Pedro II, 1125 - Carlos Prates, Belo Horizonte - MG, 30710-010, Brazil",-43.9544254,-19.913495
POSTO JUPITER LTDA,"AVENIDA TEREZA CRISTINA, 2850",Padre Eustaquio,Belo Horizonte,"Av. Tereza Cristina, 2850 - Coração Eucarístico, Belo Horizonte - MG, 30535-485, Brazil",-43.97943,-19.92307
POSTO PAULISTINHA LTDA,"AVENIDA NOSSA SENHORA DE FATIMA, 1612",Carlos Prates,Belo Horizonte,"Av. Nossa Sra. de Fátima, 1612 - Lagoinha, Belo Horizonte - MG, 30710-030, Brazil",-43.945616,-19.9134333
