razao,endereco,bairro,bandeira,venda,compra,modalidade,fornecedor,data,combustivel,cidade,ix_semana
POSTO LOURA EMPREENDIMENTOS LTDA,"AVENIDA JOAO SOARES, 1024",Parque Xangri La,IPIRANGA,4.455,-,-,-,19/03/2020,gasolina,Contagem,1083
RODRIGUES SILVA DERIVADOS DE PETRÓLEO LTDA,"RUA SANTA MARIA, 43",Pedra Azul,IPIRANGA,4.457,-,-,-,19/03/2020,gasolina,Contagem,1083
POSTO FAISCA LTDA.,"AVENIDA JOAO SOARES, 564",Xangri-la,RAIZEN,4.496,-,-,-,19/03/2020,gasolina,Contagem,1083
POSTO JC LTDA - EPP,"AV. PRINCESA ISABEL, 682",Parque Recreio,IPIRANGA,4.525,4245,CIF,-,19/03/2020,gasolina,Contagem,1083
CARVALHO ENGENHARIA LTDA,"AVENIDA CEMIG, 500",Nacional,IPIRANGA,4.546,-,-,-,19/03/2020,gasolina,Contagem,1083
CARVALHO ENGENHARIA LTDA,"AVENIDA SEVERINO BALLESTEROS RODRIGUES, 1111",Fazenda do Confisco,IPIRANGA,4.548,-,-,-,19/03/2020,gasolina,Contagem,1083
LB COMERCIO DE PETROLEO EIRELI,"RODOVIA BR-040, SN KM 08",Morada Nova,BRANCA,4.568,-,-,-,19/03/2020,gasolina,Contagem,1083
WJE COMBUSTIVEIS LTDA,"RODOVIA BR-040, S/N KM 526.7",Vila Paris,RAIZEN,4.599,-,-,-,19/03/2020,gasolina,Contagem,1083
EMPREENDIMENTOS BRITO LIMA LTDA,"AVENIDA SEVERINO BALLESTEROS, 256",Guanabara,PETROBRAS DISTRIBUIDORA S.A.,4.649,-,-,-,19/03/2020,gasolina,Contagem,1083
MERCANTIL LAGUNA LTDA,"AVENIDA FERNAO DIAS, 603",Jardim Laguna,PETROBRAS DISTRIBUIDORA S.A.,4.769,-,-,-,19/03/2020,gasolina,Contagem,1083
POSTO FELIPE LTDA,"RUA RODRIGUES DA CUNHA, 611",Balneário da Ressaca,PETROBRAS DISTRIBUIDORA S.A.,4.999,-,-,-,19/03/2020,gasolina,Contagem,1083
POSTO NOVA CONTAGEM LTDA,"RUA TIRADENTES, 1941",Industrial Santa Rita,IPIRANGA,3.39,-,-,-,11/03/2020,diesel,Contagem,1082
GLAMA COMBUSTIVEIS & NEGOCIOS LTDA,"AVENIDA ALVARENGA PEIXOTO, 75",Inconfidentes,BRANCA,3.39,-,-,-,11/03/2020,diesel,Contagem,1082
CCA COMERCIAL DE COMBUSTIVEIS AUTOMOTIVOS LTDA,"AVENIDA CORONEL JOVE SOARES NOGUEIRA, 300",Inconfidentes,PETROBRAS DISTRIBUIDORA S.A.,3.397,-,-,-,11/03/2020,diesel,Contagem,1082
POSTO VILA GAROTO LTDA,"AVENIDA JUSCELINO KUBSTCHEK, 651",Industrial,IPIRANGA,3.398,-,-,-,11/03/2020,diesel,Contagem,1082
BRESCIA COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA BR 381, 931 KM 800",Amazonas,PETROBRAS DISTRIBUIDORA S.A.,3.427,-,-,-,11/03/2020,diesel,Contagem,1082
POSTO VIDAGO LTDA,"RUA TIRADENTES, 1530",Industrial,IPIRANGA,3.499,3242,CIF,-,11/03/2020,diesel,Contagem,1082
POSTO OKLAHOMA LTDA,"RUA TIRADENTES, 1904",Industrial Sta Rita,IPIRANGA,3.539,-,-,-,11/03/2020,diesel,Contagem,1082
POSTO PAULISTA LTDA,"RODOVIA BR 381, 3300 KM 0600",Inconfidentes,RAIZEN,3.596,-,-,-,11/03/2020,diesel,Contagem,1082
POSTO DO BETO LTDA,"AVENIDA DAS AMERICAS, 894",Kenedy,BRANCA,3.295,-,-,-,19/03/2020,diesel,Contagem,1083
POSTO AGUA BRANCA DERIVADOS DE PETROLEO LTDA - ME,"RUA HIBISCO, 65",Chacara Boa Vista,RAIZEN,3.298,3081,CIF,-,19/03/2020,diesel,Contagem,1083
MERCANTIL LAGUNA LTDA,"AVENIDA FERNAO DIAS, 603",Jardim Laguna,PETROBRAS DISTRIBUIDORA S.A.,3.389,-,-,-,19/03/2020,diesel,Contagem,1083
WJE COMBUSTIVEIS LTDA,"RODOVIA BR-040, S/N KM 526.7",Vila Paris,RAIZEN,3.395,-,-,-,19/03/2020,diesel,Contagem,1083
CENTRO AUTOMOTIVO DEL-REY LTDA,"AVENIDA SEVERINO BALLESTEROS RODRIGUES, 900",Ressaca,BRANCA,3.399,-,-,-,19/03/2020,diesel,Contagem,1083
POSTO SUPREMO LTDA,"AVENIDA PRINCESA IZABEL, 320",Parque Recreio,IPIRANGA,3.399,-,-,-,19/03/2020,diesel,Contagem,1083
LB COMERCIO DE PETROLEO EIRELI,"RODOVIA BR-040, SN KM 08",Morada Nova,BRANCA,3.439,-,-,-,19/03/2020,diesel,Contagem,1083
