data_inicial,data_final,preco_medio_revenda,desvio_padrao_revenda,preco_minimo_revenda,preco_maximo_revenda,regiao,estado,abrangencia
2008-11-16,2008-11-22,2.511,0.151,2.18,3.33,,,nacional
2008-11-23,2008-11-29,2.513,0.152,2.189,3.33,,,nacional
2008-11-30,2008-12-06,2.511,0.152,2.18,3.33,,,nacional
2008-12-07,2008-12-13,2.518,0.153,2.18,3.33,,,nacional
2008-12-14,2008-12-20,2.519,0.154,2.17,3.33,,,nacional
2008-12-21,2008-12-27,2.523,0.154,2.17,3.33,,,nacional
2008-12-28,2009-01-03,2.521,0.153,2.187,3.33,,,nacional
2009-01-04,2009-01-10,2.521,0.153,2.17,3.33,,,nacional
2009-01-11,2009-01-17,2.516,0.154,2.17,3.33,,,nacional
2009-01-18,2009-01-24,2.512,0.157,2.16,3.33,,,nacional
2009-01-25,2009-01-31,2.516,0.156,2.149,3.33,,,nacional
2009-02-01,2009-02-07,2.517,0.155,2.149,3.33,,,nacional
2009-02-08,2009-02-14,2.52,0.152,2.179,3.33,,,nacional
2009-02-15,2009-02-21,2.517,0.155,2.179,3.33,,,nacional
2009-02-22,2009-02-28,2.517,0.154,2.099,3.34,,,nacional
2009-03-01,2009-03-07,2.516,0.156,2.02,3.34,,,nacional
2009-03-08,2009-03-14,2.514,0.156,1.99,3.34,,,nacional
2009-03-15,2009-03-21,2.514,0.157,1.99,3.33,,,nacional
2009-03-22,2009-03-28,2.51,0.157,1.99,3.33,,,nacional
2009-03-29,2009-04-04,2.513,0.155,1.99,3.33,,,nacional
2009-04-05,2009-04-11,2.506,0.156,2.109,3.33,,,nacional
2009-04-12,2009-04-18,2.502,0.158,2.139,3.33,,,nacional
2009-04-19,2009-04-25,2.497,0.159,2.149,3.33,,,nacional
2009-04-26,2009-05-02,2.496,0.16,2.09,3.33,,,nacional
2009-05-03,2009-05-09,2.491,0.16,2.059,3.33,,,nacional
2009-05-10,2009-05-16,2.487,0.163,2.059,3.33,,,nacional
2009-05-17,2009-05-23,2.484,0.165,2.09,3.33,,,nacional
2009-05-24,2009-05-30,2.487,0.164,2.097,3.33,,,nacional
2009-05-31,2009-06-06,2.487,0.166,2.099,3.33,,,nacional
2009-06-07,2009-06-13,2.491,0.165,2.1,3.33,,,nacional
2009-06-14,2009-06-20,2.488,0.164,2.12,3.33,,,nacional
2009-06-21,2009-06-27,2.487,0.163,2.099,3.33,,,nacional
2009-06-28,2009-07-04,2.49,0.161,2.099,3.33,,,nacional
2009-07-05,2009-07-11,2.491,0.159,2.099,3.33,,,nacional
2009-07-12,2009-07-18,2.494,0.159,2.089,3.33,,,nacional
2009-07-19,2009-07-25,2.495,0.157,2.089,3.33,,,nacional
2009-07-26,2009-08-01,2.493,0.158,2.088,3.33,,,nacional
2009-08-02,2009-08-08,2.496,0.158,2.089,3.33,,,nacional
2009-08-09,2009-08-15,2.499,0.156,2.049,3.33,,,nacional
2009-08-30,2009-09-05,2.469,0.144,2.043,2.93,,,nacional
2009-09-06,2009-09-12,2.474,0.144,2.099,2.97,,,nacional
2009-09-13,2009-09-19,2.487,0.145,2.149,3.19,,,nacional
2009-09-20,2009-09-26,2.488,0.157,2.119,3.333,,,nacional
2009-09-27,2009-10-03,2.486,0.151,2.129,3.33,,,nacional
2009-10-04,2009-10-10,2.519,0.149,2.09,3.39,,,nacional
2009-10-11,2009-10-17,2.523,0.15,2.074,3.33,,,nacional
2009-10-18,2009-10-24,2.529,0.151,2.074,3.33,,,nacional
2009-10-25,2009-10-31,2.536,0.149,2.05,3.33,,,nacional
2009-11-01,2009-11-07,2.54,0.146,1.963,3.5,,,nacional
2009-11-08,2009-11-14,2.55,0.144,2.149,3.38,,,nacional
2009-11-15,2009-11-21,2.553,0.147,2.15,3.33,,,nacional
2009-11-22,2009-11-28,2.552,0.145,2.111,3.33,,,nacional
2009-11-29,2009-12-05,2.557,0.147,2.059,3.33,,,nacional
2009-12-06,2009-12-12,2.555,0.143,2.059,3.33,,,nacional
2009-12-13,2009-12-19,2.553,0.147,2.1,3.33,,,nacional
2009-12-20,2009-12-26,2.555,0.144,2.119,3.33,,,nacional
2009-12-27,2010-01-02,2.561,0.141,2.068,3.33,,,nacional
2010-01-03,2010-01-09,2.574,0.138,2.179,3.33,,,nacional
