razao,endereco,Description,geometry,longitude,latitude,data,venda,quantile
POSTO LESTE OESTE LTDA,"AVENIDA TEREZA CRISTINA, 1795","endereco: AVENIDA TEREZA CRISTINA, 1795<br>bairro: Calafate<br>cidade: Belo Horizonte<br>endereço: Av. Tereza Cristina, 1795 - Prado, Belo Horizonte - MG, 30410-600, Brazil<br>longitude: -43.969948<br>latitude: -19.92155",POINT Z (-43.969948 -19.92155 0),-19.92155,-43.969948,2020-03-18,4.617,"(4.498, 4.639]"
POSTO LONDRINA LTDA,"RUA JAVARI, 195","endereco: RUA JAVARI, 195<br>bairro: Sao Cristovao<br>cidade: Belo Horizonte<br>endereço: Av. Silviano Brandão, 796 - Floresta, Belo Horizonte - MG, 31015-434, Brazil<br>longitude: -43.928861<br>latitude: -19.9081719",POINT Z (-43.928861 -19.9081719 0),-19.9081719,-43.928861,2020-07-01,4.544,"(4.498, 4.639]"
POSTO LOURA EMPREENDIMENTOS LTDA,"AVENIDA JOAO SOARES, 1024","endereco: AVENIDA JOAO SOARES, 1024<br>bairro: Parque Xangri La<br>cidade: Contagem<br>endereço: Av. João Soares, 1024 - Xangri-La, Contagem - MG, Brazil<br>longitude: -44.0183812<br>latitude: -19.8427336",POINT Z (-44.0183812 -19.8427336 0),-19.8427336,-44.0183812,2020-06-02,4.655,"(4.639, 4.778]"
POSTO LUIZA LTDA,"RODOVIA BR-040, 318 KM 522 E KM 318","endereco: RODOVIA BR-040, 318 KM 522 E KM 318<br>bairro: Morada Nova<br>cidade: Contagem<br>endereço: BR-040, 318 - Duarte Silveira, Petrópolis - RJ, 25725-630, Brazil<br>longitude: -44.0574231<br>latitude: -19.8813888",POINT Z (-44.0574231 -19.8813888 0),-19.8813888,-44.0574231,2020-06-02,4.627,"(4.498, 4.639]"
POSTO LUPUS ISABEL BUENO LTDA,"RUA IZABEL BUENO, 139","endereco: RUA IZABEL BUENO, 139<br>bairro: Indaia<br>cidade: Belo Horizonte<br>endereço: Av. Silviano Brandão, 662 - Sagrada Família, Belo Horizonte - MG, 31030-525, Brazil<br>longitude: -43.9299122<br>latitude: -19.9073019",POINT Z (-43.9299122 -19.9073019 0),-19.9073019,-43.9299122,2020-07-01,4.649,"(4.639, 4.778]"
POSTO LUPUS ISABEL BUENO LTDA.,"AVENIDA IZABEL BUENO, 139","endereco: AVENIDA IZABEL BUENO, 139<br>bairro: Vila Iandaia<br>cidade: Belo Horizonte<br>endereço: <br>longitude: -43.9513507<br>latitude: -19.867426",POINT Z (-43.9513507 -19.867426 0),-19.867426,-43.9513507,2020-05-03,4.529,"(4.498, 4.639]"
POSTO MANACAS LTDA,"AVENIDA PRES TANCREDO NEVES, 1095 LOTE 73 74 Q.62","endereco: AVENIDA PRES TANCREDO NEVES, 1095 LOTE 73 74 Q.62<br>bairro: Castelo<br>cidade: Belo Horizonte<br>endereço: R. Pará de Minas, 821 - Padre Eustáquio, Belo Horizonte - MG, 30730-440, Brazil<br>longitude: -43.9886784<br>latitude: -19.9146669",POINT Z (-43.9886784 -19.9146669 0),-19.9146669,-43.9886784,2020-04-03,4.597,"(4.498, 4.639]"
POSTO MANACÁS LTDA,"AVENIDA PRESIDENTE TANCREDO NEVES, 1095 0","endereco: AVENIDA PRESIDENTE TANCREDO NEVES, 1095 0<br>bairro: Castelo<br>cidade: Belo Horizonte<br>endereço: R. Mato Grosso, 212 - Barro Preto, Belo Horizonte - MG, 30190-080, Brazil<br>longitude: -43.947486<br>latitude: -19.919864",POINT Z (-43.947486 -19.919864 0),-19.919864,-43.947486,2020-06-01,4.627,"(4.498, 4.639]"
POSTO MANGABEIRAS LTDA,"RUA AFONSO PENA, 4321","endereco: RUA AFONSO PENA, 4321<br>bairro: Mangabeiras<br>cidade: Belo Horizonte<br>endereço: Av. Barão Homem de Melo, 3000 - Nova Granada, Belo Horizonte - MG, 30494-080, Brazil<br>longitude: -43.9647228<br>latitude: -19.961305",POINT Z (-43.9647228 -19.961305 0),-19.961305,-43.9647228,2020-03-02,4.899,"(4.778, 4.918]"
POSTO MARIA AMELIA LTDA,"RUA MARIA AMELIA MAIA, 780","endereco: RUA MARIA AMELIA MAIA, 780<br>bairro: Sao Bernardo<br>cidade: Belo Horizonte<br>endereço: Av. do Contorno, 9008 - Santa Efigênia, Belo Horizonte - MG, 30110-017, Brazil<br>longitude: -43.9568743<br>latitude: -19.92967",POINT Z (-43.9568743 -19.92967 0),-19.92967,-43.9568743,2020-11-02,4.69,"(4.639, 4.778]"
